
 
,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
,,,,,,,,,,,,,,,,,,,
207,Purdue,1892,2023,132,1267,626,585,48,.516,21,11,10,0,.524,5.61,4.55,16,8,record adjusted to 627-584-48 by NCAA
208,Quantico Marines,1965,1965,1,10,6,4,0,.600,0,0,0,0,,-6.22,-12.12,0,0,
209,Randolph Field,1944,1944,1,12,12,0,0,1.000,0,0,0,0,,16.14,-5.11,1,0,
210,Regis (CO),1924,1930,3,25,9,16,0,.360,0,0,0,0,,-12.84,-8.99,0,0,
211,Rhodes,1939,1939,1,9,3,5,1,.389,0,0,0,0,,-5.39,-2.50,0,0,
212,Rice,1914,2023,110,1153,478,644,32,.428,13,7,6,0,.538,-0.53,2.35,7,8,record adjusted to 479-643-32 by NCAA
213,Richmond,1909,1983,58,565,233,305,27,.436,2,1,1,0,.500,-8.46,-6.07,0,4,
214,Rutgers,1869,2023,109,1025,492,510,22,.491,11,6,5,0,.545,-3.18,-2.73,3,1,record adjusted to 493-509-22 by NCAA
215,Saint Louis,1907,1949,18,173,82,78,13,.512,0,0,0,0,,-6.36,-6.99,0,0,
216,Saint Mary's (CA),1930,1950,20,182,101,70,11,.585,3,1,2,0,.333,2.63,0.03,1,0,
217,Saint Mary's (CA) Pre-Flight,1942,1944,3,26,13,11,2,.538,0,0,0,0,,2.43,-1.77,1,0,
218,Samford,1907,1924,11,95,27,57,11,.342,0,0,0,0,,-8.87,-2.41,0,0,
219,San Diego State,1969,2023,55,640,356,276,8,.563,16,7,9,0,.438,0.07,-2.00,3,9,record adjusted to 358-274-8 by NCAA
220,San Francisco,1932,1951,18,163,77,76,10,.503,0,0,0,0,,-0.90,-2.32,1,0,
221,San Jose State,1950,2023,74,813,357,438,14,.450,10,5,5,0,.500,-5.58,-3.49,2,9,record adjusted to 355-441-13 by NCAA
222,Santa Clara,1932,1952,18,163,98,54,11,.635,3,3,0,0,1.000,6.34,2.58,6,0,
223,Second Air Force,1944,1944,1,15,10,4,1,.700,0,0,0,0,,12.44,-1.42,1,0,
224,Sewanee,1902,1941,40,339,161,155,23,.509,0,0,0,0,,0.56,0.28,0,0,
225,Simpson,1902,1903,2,10,3,7,0,.300,0,0,0,0,,-5.53,1.87,0,0,
226,SMU,1916,2023,106,1135,523,558,54,.485,18,7,10,1,.417,2.07,2.56,11,10,record adjusted to 519-552-54 by NCAA
227,South Alabama,2012,2023,12,135,53,82,0,.393,3,0,3,0,.000,-8.54,-4.49,0,0,
228,South Carolina,1903,2023,116,1218,596,573,41,.510,25,10,15,0,.400,2.15,1.84,10,1,record adjusted to 597-572-41 by NCAA
229,South Florida,2000,2023,24,276,141,135,0,.511,10,6,4,0,.600,-1.15,-1.65,2,0,
230,Southern,1977,1977,1,11,3,7,1,.318,0,0,0,0,,-15.39,-9.12,0,0,
231,Southern Illinois,1972,1985,14,156,68,85,3,.446,0,0,0,0,,-11.97,-9.54,0,0,
232,Southern Mississippi,1963,2023,61,693,377,309,6,.549,23,12,11,0,.522,-0.22,-2.00,3,5,record adjusted to 379-307-6 by NCAA
233,Southwestern (TX),1910,1921,12,78,23,49,6,.333,0,0,0,0,,-7.04,-1.44,0,0,
234,Spring Hill,1919,1922,3,23,11,11,1,.500,0,0,0,0,,-3.17,-2.11,0,0,
235,Springfield,1891,1892,2,21,9,11,1,.452,0,0,0,0,,-0.79,0.43,0,0,
236,Stanford,1918,2023,103,1101,593,470,34,.556,29,15,13,1,.534,6.54,4.86,20,14,
237,Stevens,1872,1891,19,123,36,74,13,.346,0,0,0,0,,-4.24,-0.35,0,0,
